ring_id,tier,ring_size,majority_fraction,fully_recovered
44,tier2,11,1.0,True
27,tier1,5,1.0,True
41,tier2,14,1.0,True
16,tier2,5,1.0,True
7,tier1,3,1.0,True
83,tier2,5,1.0,True
64,tier1,6,1.0,True
1,tier1,6,1.0,True
32,tier1,5,1.0,True
65,tier2,16,1.0,True
81,tier1,13,1.0,True
70,tier2,5,1.0,True
72,tier2,17,1.0,True
45,tier1,17,1.0,True
37,tier1,3,1.0,True
14,tier2,3,1.0,True
77,tier2,11,1.0,True
2,tier2,4,1.0,True
55,tier1,14,1.0,True
13,tier1,6,1.0,True
11,tier2,5,1.0,True
33,tier2,13,1.0,True
6,tier2,3,1.0,True
63,tier2,2,1.0,True
5,tier2,2,1.0,True
71,tier1,5,1.0,True
79,tier1,6,1.0,True
82,tier2,19,1.0,True
24,tier1,4,1.0,True
48,tier2,4,1.0,True
57,tier1,6,1.0,True
52,tier1,6,1.0,True
76,tier2,3,1.0,True
59,tier2,4,1.0,True
38,tier1,5,1.0,True
26,tier2,4,1.0,True
3,tier2,5,1.0,True
31,tier2,4,1.0,True
84,tier1,3,1.0,True
20,tier1,15,1.0,True
62,tier1,13,1.0,True
74,tier2,4,1.0,True
46,tier2,20,1.0,True
86,tier1,5,1.0,True
4,tier1,5,1.0,True
39,tier2,4,1.0,True
21,tier2,2,1.0,True
19,tier1,4,1.0,True
30,tier2,3,1.0,True
67,tier2,4,1.0,True
75,tier2,4,1.0,True
60,tier2,4,1.0,True
53,tier2,5,1.0,True
25,tier2,5,1.0,True
54,tier2,3,1.0,True
85,tier2,4,1.0,True
87,tier2,3,1.0,True
9,tier2,5,1.0,True
0,tier2,3,1.0,True
61,tier1,3,1.0,True
17,tier2,2,1.0,True
8,tier2,5,1.0,True
73,tier1,4,1.0,True
80,tier2,3,1.0,True
66,tier2,2,1.0,True
28,tier1,5,1.0,True
47,tier2,3,1.0,True
78,tier2,2,1.0,True
43,tier2,5,1.0,True
12,tier2,2,1.0,True
36,tier1,6,1.0,True
69,tier1,6,1.0,True
51,tier1,4,1.0,True
40,tier2,5,1.0,True
10,tier1,3,1.0,True
15,tier2,2,1.0,True
22,tier2,3,1.0,True
29,tier2,3,1.0,True
49,tier2,2,1.0,True
58,tier2,2,1.0,True
23,tier2,3,1.0,True
35,tier2,2,1.0,True
68,tier2,5,1.0,True
42,tier1,3,1.0,True
56,tier2,2,1.0,True
18,tier2,3,1.0,True
50,tier2,3,1.0,True
34,tier2,3,1.0,True
