edge_id,transaction_id_a,transaction_id_b,shared_attribute_type,edge_weight,is_true_ring_pair
1,1919,10719627,card_addr,1.0,False
2,2143,13527024,card_addr,1.0,False
3,3787,683535,card_addr,1.0,False
4,3961,13749327,card_addr,1.0,False
5,3968,850242,card_addr,1.0,False
6,4382,663711,device,2.0,False
7,4382,1427253,device,2.0,False
8,4382,1763880,device,2.0,False
9,4382,5202239,device,2.0,False
10,4382,9645656,device,2.0,False
11,4382,11222212,device,2.0,False
12,4382,12483201,device,2.0,False
13,4382,15504133,device,2.0,False
14,4406,15568610,card_addr,1.0,False
15,5411,2614340,card_addr,1.0,False
16,5980,120078,device,2.0,False
17,5980,269370,device,2.0,False
18,5980,614793,device,2.0,False
19,5980,1373199,device,2.0,False
20,5980,1977171,device,2.0,False
21,5980,2314008,device,2.0,False
22,5980,3267379,device,2.0,False
23,5980,3463496,device,2.0,False
24,5980,5391064,device,2.0,False
25,5980,6045280,device,2.0,False
26,5980,6851403,device,2.0,False
27,5980,7111765,device,2.0,False
28,5980,7664946,device,2.0,False
29,5980,8264933,device,2.0,False
30,5980,8385835,device,2.0,False
31,5980,8957385,device,2.0,False
32,5980,9809809,device,2.0,False
33,5980,10414295,device,2.0,False
34,5980,10569092,device,2.0,False
35,5980,11199817,device,2.0,False
36,5980,11842499,device,2.0,False
37,5980,12217493,device,2.0,False
38,5980,12915316,device,2.0,False
39,5980,13129013,device,2.0,False
40,5980,13764688,device,2.0,False
41,5980,14061595,device,2.0,False
42,5980,14416820,device,2.0,False
43,5980,14514750,device,2.0,False
44,5980,15031978,device,2.0,False
45,5980,16189045,device,2.0,False
46,5980,16313703,device,2.0,False
47,5980,16546555,device,2.0,False
48,5980,16728213,device,2.0,False
49,6155,386122,device,2.0,False
50,6155,503494,device,2.0,False
51,6155,884369,device,2.0,False
52,6155,1966490,device,2.0,False
53,6155,2024702,device,2.0,False
54,6155,2259587,device,2.0,False
55,6155,2744112,device,2.0,False
56,6155,3768727,device,2.0,False
57,6155,4613116,device,2.0,False
58,6155,4841500,device,2.0,False
59,6155,5894610,device,2.0,False
60,6155,5895763,device,2.0,False
61,6155,6128748,device,2.0,False
62,6155,6363748,device,2.0,False
63,6155,6538277,device,2.0,False
64,6155,6657172,device,2.0,False
65,6155,7538623,device,2.0,False
66,6155,8294965,device,2.0,False
67,6155,8334773,device,2.0,False
68,6155,8881492,device,2.0,False
69,6155,8955897,device,2.0,False
70,6155,9653581,device,2.0,False
