ring_id,tier,size
0,tier2,3
1,tier1,6
2,tier2,4
3,tier2,5
4,tier1,5
5,tier2,2
6,tier2,3
7,tier1,3
8,tier2,5
9,tier2,5
10,tier1,3
11,tier2,5
12,tier2,2
13,tier1,6
14,tier2,3
15,tier2,2
16,tier2,5
17,tier2,2
18,tier2,3
19,tier1,4
20,tier1,15
21,tier2,2
22,tier2,3
23,tier2,3
24,tier1,4
25,tier2,5
26,tier2,4
27,tier1,5
28,tier1,5
29,tier2,3
30,tier2,3
31,tier2,4
32,tier1,5
33,tier2,13
34,tier2,3
35,tier2,2
36,tier1,6
37,tier1,3
38,tier1,5
39,tier2,4
40,tier2,5
41,tier2,14
42,tier1,3
43,tier2,5
44,tier2,11
45,tier1,17
46,tier2,20
47,tier2,3
48,tier2,4
49,tier2,2
50,tier2,3
51,tier1,4
52,tier1,6
53,tier2,5
54,tier2,3
55,tier1,14
56,tier2,2
57,tier1,6
58,tier2,2
59,tier2,4
60,tier2,4
61,tier1,3
62,tier1,13
63,tier2,2
64,tier1,6
65,tier2,16
66,tier2,2
67,tier2,4
68,tier2,5
69,tier1,6
70,tier2,5
71,tier1,5
72,tier2,17
73,tier1,4
74,tier2,4
75,tier2,4
76,tier2,3
77,tier2,11
78,tier2,2
79,tier1,6
80,tier2,3
81,tier1,13
82,tier2,19
83,tier2,5
84,tier1,3
85,tier2,4
86,tier1,5
87,tier2,3
