community_id,community_size,dominant_ring,ring_members_in_community,purity
125,7,27,5,0.7142857142857143
188,48,41,14,0.2916666666666667
230,5,16,5,1.0
345,3,7,3,1.0
353,5,83,5,1.0
466,6,64,6,1.0
497,6,1,6,1.0
520,5,32,5,1.0
583,16,65,16,1.0
603,35,44,11,0.3142857142857143
709,13,81,13,1.0
842,5,70,5,1.0
962,17,72,17,1.0
977,18,45,17,0.9444444444444444
980,3,37,3,1.0
984,3,14,3,1.0
1018,12,77,11,0.9166666666666666
1122,4,2,4,1.0
1203,14,55,14,1.0
1290,6,13,6,1.0
1331,5,11,5,1.0
1460,2,63,2,1.0
1517,2,5,2,1.0
1566,5,71,5,1.0
1672,6,79,6,1.0
1698,19,82,19,1.0
1764,4,24,4,1.0
1797,4,48,4,1.0
1835,6,57,6,1.0
1881,6,52,6,1.0
1960,3,76,3,1.0
2143,4,59,4,1.0
2461,5,38,5,1.0
2552,4,26,4,1.0
2572,5,3,5,1.0
2705,4,31,4,1.0
2762,3,84,3,1.0
2786,15,20,15,1.0
2860,13,62,13,1.0
2914,4,74,4,1.0
3011,5,86,5,1.0
3178,5,4,5,1.0
3268,31,46,20,0.6451612903225806
3318,4,39,4,1.0
3536,2,21,2,1.0
3581,4,19,4,1.0
3652,3,30,3,1.0
3791,4,67,4,1.0
3895,26,33,13,0.5
3937,4,75,4,1.0
4220,4,60,4,1.0
4226,5,53,5,1.0
4367,5,25,5,1.0
4394,3,54,3,1.0
4415,4,85,4,1.0
4561,3,87,3,1.0
4734,5,9,5,1.0
4739,3,0,3,1.0
4919,3,61,3,1.0
5228,2,17,2,1.0
5248,5,8,5,1.0
5385,4,73,4,1.0
5397,4,80,3,0.75
5432,2,66,2,1.0
5647,6,28,5,0.8333333333333334
5702,4,47,3,0.75
5848,2,78,2,1.0
6026,5,43,5,1.0
6208,2,12,2,1.0
6241,6,36,6,1.0
6243,6,69,6,1.0
6713,4,51,4,1.0
7170,5,40,5,1.0
7195,3,10,3,1.0
7569,2,15,2,1.0
7584,3,22,3,1.0
8065,3,29,3,1.0
8224,3,49,2,0.6666666666666666
8448,7,6,3,0.42857142857142855
8464,3,58,2,0.6666666666666666
8553,3,23,3,1.0
8580,2,35,2,1.0
8689,5,68,5,1.0
8969,3,42,3,1.0
9586,2,56,2,1.0
10001,3,18,3,1.0
10052,3,50,3,1.0
10187,3,34,3,1.0
