,dtype,null_count,null_pct,n_unique
id_24,float64,139486,96.71,12
id_25,float64,139101,96.44,341
id_07,float64,139078,96.43,84
id_08,float64,139078,96.43,94
id_23,object,139064,96.42,3
id_27,object,139064,96.42,2
id_22,float64,139064,96.42,25
id_21,float64,139074,96.42,490
id_26,float64,139070,96.42,95
id_18,float64,99120,68.72,18
id_03,float64,77909,54.02,24
id_04,float64,77909,54.02,15
id_33,object,70944,49.19,260
id_09,float64,69307,48.05,46
id_10,float64,69307,48.05,62
id_30,object,66668,46.22,75
id_32,float64,66647,46.21,4
id_34,object,66428,46.06,4
id_14,float64,64189,44.5,25
DeviceInfo,object,25567,17.73,1786
id_13,float64,16913,11.73,54
id_16,object,14893,10.33,2
id_06,float64,7368,5.11,101
id_05,float64,7368,5.11,93
id_20,float64,4972,3.45,394
id_19,float64,4915,3.41,522
id_17,float64,4864,3.37,104
id_31,object,3951,2.74,130
DeviceType,object,3423,2.37,2
id_02,float64,3361,2.33,115655
id_28,object,3255,2.26,2
id_29,object,3255,2.26,2
id_11,float64,3255,2.26,365
id_15,object,3248,2.25,3
id_35,object,3248,2.25,2
id_36,object,3248,2.25,2
id_37,object,3248,2.25,2
id_38,object,3248,2.25,2
id_01,float64,0,0.0,77
id_12,object,0,0.0,2
TransactionID,int64,0,0.0,144233
