,dtype,null_count,null_pct,n_unique
dist2,float64,552913,93.63,1751
D7,float64,551623,93.41,597
D13,float64,528588,89.51,577
D14,float64,528353,89.47,802
D12,float64,525823,89.04,635
D6,float64,517353,87.61,829
D9,float64,515614,87.31,24
D8,float64,515614,87.31,12353
V143,float64,508589,86.12,870
V156,float64,508595,86.12,25
V155,float64,508595,86.12,25
V154,float64,508595,86.12,19
V153,float64,508595,86.12,19
V152,float64,508589,86.12,39
V151,float64,508589,86.12,56
V149,float64,508595,86.12,21
V150,float64,508589,86.12,1996
V158,float64,508595,86.12,25
V148,float64,508595,86.12,21
V147,float64,508595,86.12,27
V146,float64,508595,86.12,25
V145,float64,508589,86.12,260
V144,float64,508589,86.12,63
V142,float64,508595,86.12,10
V141,float64,508595,86.12,6
V140,float64,508595,86.12,34
V157,float64,508595,86.12,25
V159,float64,508589,86.12,6663
V138,float64,508595,86.12,23
V164,float64,508589,86.12,1978
V160,float64,508589,86.12,9621
V166,float64,508589,86.12,987
V165,float64,508589,86.12,2547
V139,float64,508595,86.12,34
V163,float64,508595,86.12,106
V161,float64,508595,86.12,79
V162,float64,508595,86.12,185
V331,float64,508189,86.05,1758
V338,float64,508189,86.05,380
V337,float64,508189,86.05,254
V336,float64,508189,86.05,356
V335,float64,508189,86.05,672
V334,float64,508189,86.05,143
V333,float64,508189,86.05,1971
V332,float64,508189,86.05,2453
V330,float64,508189,86.05,56
V329,float64,508189,86.05,100
V328,float64,508189,86.05,16
V326,float64,508189,86.05,45
V325,float64,508189,86.05,13
V324,float64,508189,86.05,976
V323,float64,508189,86.05,1411
V322,float64,508189,86.05,881
V327,float64,508189,86.05,19
V339,float64,508189,86.05,334
V240,float64,460110,77.91,6
V235,float64,460110,77.91,24
V252,float64,460110,77.91,25
V249,float64,460110,77.91,23
V248,float64,460110,77.91,23
V247,float64,460110,77.91,19
V246,float64,460110,77.91,46
V244,float64,460110,77.91,23
V243,float64,460110,77.91,43
V242,float64,460110,77.91,21
V241,float64,460110,77.91,5
V237,float64,460110,77.91,40
V236,float64,460110,77.91,46
V233,float64,460110,77.91,333
V254,float64,460110,77.91,45
V232,float64,460110,77.91,338
V231,float64,460110,77.91,294
V230,float64,460110,77.91,66
V229,float64,460110,77.91,91
V228,float64,460110,77.91,55
V217,float64,460110,77.91,304
V226,float64,460110,77.91,81
V225,float64,460110,77.91,35
V224,float64,460110,77.91,79
V223,float64,460110,77.91,17
V218,float64,460110,77.91,401
V253,float64,460110,77.91,66
V219,float64,460110,77.91,379
V266,float64,460110,77.91,2178
V262,float64,460110,77.91,21
V268,float64,460110,77.91,2756
V267,float64,460110,77.91,3616
V273,float64,460110,77.91,7177
V274,float64,460110,77.91,8315
V275,float64,460110,77.91,7776
V276,float64,460110,77.91,2263
V265,float64,460110,77.91,11757
V264,float64,460110,77.91,13358
V263,float64,460110,77.91,10422
V277,float64,460110,77.91,2540
V261,float64,460110,77.91,41
V260,float64,460110,77.91,9
V278,float64,460110,77.91,2398
V258,float64,460110,77.91,67
V257,float64,460110,77.91,49
V269,float64,460110,77.91,151
R_emaildomain,object,453249,76.75,60
V203,float64,450909,76.36,14951
V196,float64,450909,76.36,39
V202,float64,450909,76.36,10970
V207,float64,450909,76.36,3246
V204,float64,450909,76.36,12858
V216,float64,450909,76.36,2532
V206,float64,450909,76.36,1780
V215,float64,450909,76.36,2747
V214,float64,450909,76.36,2282
V213,float64,450909,76.36,8317
V212,float64,450909,76.36,8868
V205,float64,450909,76.36,2240
V211,float64,450909,76.36,7624
V192,float64,450909,76.36,45
V193,float64,450909,76.36,38
V186,float64,450909,76.36,39
V183,float64,450909,76.36,42
V190,float64,450909,76.36,43
V167,float64,450909,76.36,873
V168,float64,450909,76.36,965
V187,float64,450909,76.36,215
V172,float64,450909,76.36,32
V173,float64,450909,76.36,8
V182,float64,450909,76.36,84
V199,float64,450909,76.36,46
V176,float64,450909,76.36,49
V177,float64,450909,76.36,862
V178,float64,450909,76.36,1236
V179,float64,450909,76.36,921
V191,float64,450909,76.36,22
V181,float64,450909,76.36,25
V195,float64,450721,76.32,17
V189,float64,450721,76.32,31
V198,float64,450721,76.32,22
V188,float64,450721,76.32,31
V197,float64,450721,76.32,15
V194,float64,450721,76.32,8
V170,float64,450721,76.32,49
V200,float64,450721,76.32,46
V201,float64,450721,76.32,56
V208,float64,450721,76.32,2552
V209,float64,450721,76.32,3451
V210,float64,450721,76.32,2836
V184,float64,450721,76.32,17
V185,float64,450721,76.32,32
V175,float64,450721,76.32,15
V174,float64,450721,76.32,9
V171,float64,450721,76.32,62
V169,float64,450721,76.32,20
V180,float64,450721,76.32,84
V221,float64,449124,76.05,77
V220,float64,449124,76.05,26
V250,float64,449124,76.05,19
V272,float64,449124,76.05,2507
V271,float64,449124,76.05,2787
V270,float64,449124,76.05,2340
V256,float64,449124,76.05,48
V255,float64,449124,76.05,46
V251,float64,449124,76.05,19
V259,float64,449124,76.05,68
V245,float64,449124,76.05,58
V239,float64,449124,76.05,24
V238,float64,449124,76.05,24
V234,float64,449124,76.05,122
V227,float64,449124,76.05,50
V222,float64,449124,76.05,76
dist1,float64,352271,59.65,2651
M5,object,350482,59.35,2
M7,object,346265,58.64,2
M9,object,346252,58.63,2
M8,object,346252,58.63,2
D5,float64,309841,52.47,688
M4,object,281444,47.66,3
D2,float64,280797,47.55,641
V2,float64,279287,47.29,9
D11,float64,279287,47.29,676
V1,float64,279287,47.29,2
V6,float64,279287,47.29,10
V7,float64,279287,47.29,10
V8,float64,279287,47.29,9
V9,float64,279287,47.29,9
V10,float64,279287,47.29,5
V11,float64,279287,47.29,6
V5,float64,279287,47.29,7
V3,float64,279287,47.29,10
V4,float64,279287,47.29,7
M3,object,271100,45.91,2
M1,object,271100,45.91,2
M2,object,271100,45.91,2
D3,float64,262878,44.51,649
M6,object,169360,28.68,2
V35,float64,168969,28.61,4
V36,float64,168969,28.61,6
V38,float64,168969,28.61,55
V51,float64,168969,28.61,7
V52,float64,168969,28.61,9
V50,float64,168969,28.61,6
V49,float64,168969,28.61,6
V48,float64,168969,28.61,6
V47,float64,168969,28.61,9
V46,float64,168969,28.61,7
V45,float64,168969,28.61,49
V44,float64,168969,28.61,49
V43,float64,168969,28.61,9
V42,float64,168969,28.61,9
V41,float64,168969,28.61,2
V40,float64,168969,28.61,18
V37,float64,168969,28.61,55
V39,float64,168969,28.61,16
D4,float64,168922,28.6,808
P_emaildomain,object,94456,15.99,59
V82,float64,89164,15.1,8
V91,float64,89164,15.1,7
V76,float64,89164,15.1,7
V77,float64,89164,15.1,31
V78,float64,89164,15.1,32
V79,float64,89164,15.1,8
V94,float64,89164,15.1,3
V93,float64,89164,15.1,8
V92,float64,89164,15.1,8
V89,float64,89164,15.1,3
V90,float64,89164,15.1,6
V81,float64,89164,15.1,20
V88,float64,89164,15.1,2
V87,float64,89164,15.1,31
V86,float64,89164,15.1,31
V85,float64,89164,15.1,8
V84,float64,89164,15.1,8
V83,float64,89164,15.1,8
V75,float64,89164,15.1,5
V80,float64,89164,15.1,20
D15,float64,89113,15.09,859
V70,float64,77096,13.06,7
V62,float64,77096,13.06,11
V53,float64,77096,13.06,6
V54,float64,77096,13.06,7
V55,float64,77096,13.06,18
V56,float64,77096,13.06,52
V57,float64,77096,13.06,7
V58,float64,77096,13.06,11
V59,float64,77096,13.06,17
V60,float64,77096,13.06,17
V61,float64,77096,13.06,7
V63,float64,77096,13.06,8
V72,float64,77096,13.06,11
V64,float64,77096,13.06,8
V65,float64,77096,13.06,2
V66,float64,77096,13.06,8
V67,float64,77096,13.06,9
V68,float64,77096,13.06,3
V69,float64,77096,13.06,6
V74,float64,77096,13.06,9
V73,float64,77096,13.06,8
V71,float64,77096,13.06,7
V33,float64,76073,12.88,7
V15,float64,76073,12.88,8
V24,float64,76073,12.88,14
V12,float64,76073,12.88,4
V13,float64,76073,12.88,7
V14,float64,76073,12.88,2
V16,float64,76073,12.88,15
V17,float64,76073,12.88,16
V18,float64,76073,12.88,16
V19,float64,76073,12.88,8
V21,float64,76073,12.88,6
V22,float64,76073,12.88,9
V23,float64,76073,12.88,14
V20,float64,76073,12.88,15
V25,float64,76073,12.88,7
V30,float64,76073,12.88,8
V34,float64,76073,12.88,13
V26,float64,76073,12.88,13
V31,float64,76073,12.88,8
V32,float64,76073,12.88,15
V29,float64,76073,12.88,6
V28,float64,76073,12.88,4
V27,float64,76073,12.88,4
D10,float64,76022,12.87,818
addr1,float64,65706,11.13,332
addr2,float64,65706,11.13,74
card2,float64,8933,1.51,500
card5,float64,4259,0.72,119
card3,float64,1565,0.27,114
card4,object,1577,0.27,4
card6,object,1571,0.27,4
V315,float64,1269,0.21,6973
V282,float64,1269,0.21,33
D1,float64,1269,0.21,641
V314,float64,1269,0.21,11377
V313,float64,1269,0.21,5529
V301,float64,1269,0.21,14
V300,float64,1269,0.21,12
V283,float64,1269,0.21,62
V288,float64,1269,0.21,11
V296,float64,1269,0.21,94
V289,float64,1269,0.21,13
V281,float64,1269,0.21,23
V125,float64,314,0.05,14
V126,float64,314,0.05,10299
V118,float64,314,0.05,4
V128,float64,314,0.05,14507
V129,float64,314,0.05,1968
V131,float64,314,0.05,4444
V132,float64,314,0.05,6560
V133,float64,314,0.05,9949
V134,float64,314,0.05,8178
V135,float64,314,0.05,3724
V117,float64,314,0.05,4
V136,float64,314,0.05,4852
V116,float64,314,0.05,7
V119,float64,314,0.05,4
V120,float64,314,0.05,4
V95,float64,314,0.05,881
V137,float64,314,0.05,4252
V124,float64,314,0.05,14
